Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type
7;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;29,875;83;5,5625;13;-2,9375;0;0;3;25,6875;0;0;-45,8125;902,25;-1777,0625;2055;1;1;0;0;0;0;4;84;85;85;85;-2040;-2040;85;86;86;86;5;1235;1418;7,875;4,3125;0;0;0;6;-12,875;0,125;312,375;0;21,75;660;27;1;100;-46;7
14;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;29,875;83;5,625;13;-3,0625;0;0;3;25,6875;0;0;-45,5625;903,875;-1776,4375;2055;1;1;0;0;0;0;4;84;85;85;85;-2040;-2040;85;86;86;86;5;1272;1418;7,875;4,3125;0;0;0;6;-12,5;0;314,25;-0,125;22;661;7;1;100;-46;7
20;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;29,875;83;5,625;13;-3,0625;0;0;3;25,6875;0;0;-45,6875;902,8125;-1776,375;2055;1;1;0;0;0;0;4;84;85;85;85;-2040;-2040;85;86;86;86;5;1318;1418;7,875;4,3125;0;0;0;6;-12,625;-0,375;314,875;-0,125;22;660;-1;1;100;-46;7
27;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,125;82;5,625;3,9375;-230,4375;0;0;3;25,6875;0;0;-45,8125;904,25;-1751,25;2055;1;1;0;0;0;0;4;84;85;85;85;-2040;-2040;85;86;86;86;5;1353;1417;7,875;4,3125;0;0;0;6;-12,75;-0,375;315,25;0;22,75;662;-3;1;100;-46;7
34;1;0;0;0;14;35;49;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-4;30,0625;75;3,8125;13,0625;-1,125;0;0;3;25,6875;0;0;-45,875;904,0625;-1505,8125;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1412;7,875;4,3125;0;0;0;6;0;-0,75;49,375;0,125;0;465;96;1;100;-46;7
40;0;0;0;0;14;35;54;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30,0625;75;5,625;13,0625;-2,1875;0;0;3;25,6875;0;0;-45,5;903,875;-1506,5625;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1412;7,875;4,3125;0;0;0;6;0;-1;49,125;0,125;0;469;72;0,9375;100;-46;7
46;0;0;0;0;14;35;59;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30,0625;75;5,625;13,0625;-3;0;0;3;25,6875;0;0;-45,6875;903,75;-1506,6875;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1412;7,875;4,3125;0;0;0;6;0,125;-1;49,25;0,25;0;470;-7;0,9375;100;-46;7
53;0;0;0;0;14;36;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30,0625;75;5,625;13,0625;-3;0;0;3;25,6875;0;0;-45,6875;903,625;-1508;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1412;7,875;4,3125;0;0;0;6;0,125;-1;49,125;0,25;0;470;-2;0,9375;100;-46;7
59;0;0;0;0;14;36;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;13,0625;-3;0;0;3;25,6875;0;0;-45,5;903,875;-1507,8125;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1411;7,875;4,3125;0;0;0;6;0;-0,875;49,125;0,125;0;387;-75;0,9375;100;-46;7
65;0;0;0;0;14;36;10;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;13,0625;-3,4375;0;0;3;25,6875;0;0;-45,625;904,3125;-1507,5625;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1411;7,875;4,3125;0;0;0;6;0;-1;49,125;0,25;0;387;-50;1;100;-46;7
