Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type.1;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type.2;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type.3;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type.4;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type.5;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type.6
4052;1;0;0;0;12;57;35;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-3;30,4375;233;4,625;0;-2;0;0;3;21,1875;0;0;-45,3125;903,6875;1864,1875;302;1;1;0;0;0;0;4;518;554;515;572;289;274;399;401;447;445;5;240;1418;8,6875;4,6875;0;0;0;6;-0,625;-0,375;48,25;-0,25;23;381;93;1;100;-45;7
4059;0;0;0;0;12;57;36;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30,4375;233;5,3125;0;-4,375;0;0;3;21,1875;0;0;-45,5625;902,75;1861,8125;303;1;1;0;0;0;0;4;516;552;514;571;289;274;399;401;447;445;5;265;1418;8,6875;4,6875;0;0;0;6;-0,5;-0,625;48;-0,125;23;383;76;1;100;-46;7
4065;0;0;0;0;12;57;41;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;233;5,625;0;-7,6875;0;0;3;21,1875;0;0;-45,375;902,25;1844,5625;310;1;1;0;0;0;0;4;507;543;505;561;288;274;399;401;447;445;5;385;1418;8,6875;4,6875;0;0;0;6;-0,75;-0,875;47,625;-0,125;23;390;90;1;100;-45;7
4072;0;0;0;0;12;57;43;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;233;5,625;0;0,1875;0;0;3;21,1875;0;0;-45,4375;902,8125;1838,625;312;1;1;0;0;0;0;4;503;539;501;557;288;275;399;401;447;445;5;428;1417;8,6875;4,6875;0;0;0;6;-0,5;-0,875;47,625;-0,125;22,75;392;43;1;100;-45;7
4078;0;0;0;0;12;57;48;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;233;5,625;0;3,0625;0;0;3;21,1875;0;0;-45,375;903,6875;1821,4375;317;1;1;0;0;0;0;4;494;530;493;548;288;275;399;401;446;444;5;526;1417;8,6875;4,6875;0;0;0;6;-0,125;-0,75;47,625;-0,125;23,25;392;15;1;100;-45;7
4084;0;0;0;0;12;57;53;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;233;5,625;0;-0,75;0;0;3;21,1875;0;0;-45,6875;903,875;1805,9375;321;1;1;0;0;0;0;4;486;521;485;539;289;276;399;401;445;444;5;614;1417;8,6875;4,6875;0;0;0;6;-0,75;-0,75;47,625;-0,25;23,25;392;23;1;100;-46;7
4090;0;0;0;0;12;57;58;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;232;5,625;0;-0,125;0;0;3;21,1875;0;0;-45,375;903,6875;1790,875;324;1;1;0;0;0;0;4;478;513;477;531;292;277;398;400;444;443;5;694;1416;8,6875;4,6875;0;0;0;6;-0,625;-0,625;47,625;-0,125;23,25;392;-3;1;100;-45;7
4096;0;0;0;0;12;58;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;232;5,625;0;-0,5625;0;0;3;21,1875;0;0;-45,375;902,4375;1777,4375;327;1;1;0;0;0;0;4;470;505;470;522;297;278;398;400;443;442;5;765;1416;8,6875;4,6875;0;0;0;6;-0,625;-0,75;47,625;-0,125;23,25;392;-17;1;100;-45;7
4103;0;0;0;0;12;58;8;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;232;5,625;0;1,9375;0;0;3;21,1875;0;0;-45,375;903,5625;1762,75;330;1;1;0;0;0;0;4;462;497;463;514;302;278;397;399;443;441;5;832;1416;8,6875;4,6875;0;0;0;6;-0,5;-0,75;47,625;-0,125;23,25;392;-22;1;100;-45;7
4109;0;0;0;0;12;58;13;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;232;5,625;0;0,5;0;0;3;21,1875;0;0;-45,5;902,8125;1750,6875;332;1;1;0;0;0;0;4;455;490;457;506;310;278;397;399;442;441;5;891;1416;8,6875;4,6875;0;0;0;6;-0,375;-0,875;47,625;-0,125;22,5;392;-15;1;100;-45;7
4116;0;0;0;0;12;58;17;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;232;5,625;0;-4,25;0;0;3;21,1875;0;0;-45,375;901,625;1740,5625;334;1;1;0;0;0;0;4;449;484;451;501;316;279;396;398;441;440;5;935;1416;8,6875;4,6875;0;0;0;6;-0,5;-1;47,75;-0,125;23;392;-6;1;100;-45;7
4123;0;0;0;0;12;58;22;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;231;5,625;0;-2,875;0;0;3;21,1875;0;0;-45,5625;903,875;1728,6875;337;1;1;0;0;0;0;4;443;477;445;493;324;279;396;398;441;440;5;984;1416;8,6875;4,6875;0;0;0;6;-0,625;-0,875;47,625;-0,25;23,25;392;-17;1;100;-46;7
4130;0;0;0;0;12;58;24;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;231;5,625;0;-2,9375;0;0;3;21,1875;0;0;-45,5;902,5625;1723,75;338;1;1;0;0;0;0;4;440;474;442;490;327;279;396;398;440;439;5;1002;1416;8,6875;4,6875;0;0;0;6;-0,75;-0,875;47,75;-0,125;23,5;392;-33;1;100;-46;7
4137;0;0;0;0;12;58;29;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;231;5,625;0;-1,875;0;0;3;21,1875;0;0;-45,8125;904,5625;1710,875;340;1;1;0;0;0;0;4;433;468;436;484;337;280;395;397;440;439;5;1045;1416;8,6875;4,6875;0;0;0;6;-0,5;-1,125;47,75;-0,125;23,25;392;-1;1;100;-46;7
4144;0;0;0;0;12;58;31;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;231;5,625;0;-4,75;0;0;3;21,1875;0;0;-45,5;903,4375;1705,3125;341;1;1;0;0;0;0;4;431;465;434;481;341;280;395;397;439;438;5;1060;1416;8,6875;4,6875;0;0;0;6;-0,5;-1;47,625;-0,125;23,25;392;-26;1;100;-45;7
4150;0;0;0;0;12;58;36;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;231;5,625;0;-3,6875;0;0;3;21,1875;0;0;-45,5;902,25;1694,375;343;1;1;0;0;0;0;4;425;458;428;474;350;281;394;396;438;437;5;1096;1416;8,6875;4,6875;0;0;0;6;-0,5;-1;47,75;-0,125;23;392;-11;1;100;-45;7
4156;0;0;0;0;12;58;41;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;231;5,625;0;-3,5625;0;0;3;21,1875;0;0;-45,375;902,625;1684,75;345;1;1;0;0;0;0;4;419;452;422;468;360;281;394;396;438;437;5;1128;1416;8,6875;4,6875;0;0;0;6;-0,25;-0,875;47,625;-0,125;22,5;392;14;1;100;-45;7
